Sentimen,review
positive,Universitasnya Bagus dan keren . luas banyak Pohon Juga sehingga nggak terlalu Panas. dan konsep bangunan phinisi yang menjadi ikonik sendiri bagi UNM
negative,Security nya kurang ramah sama tamu muka tegang sinis…
positive,Ketika keluar ataupun turun dari jalan tol layang AP Pettarani sdh nampaklah kampus ini dgn gedungnya menjulang tinggi yg biasa disebut Menara Pinisi.
negative,jelek
negative,panas
negative,hanya menara Phinisi nya yang bagus selebihnya jelek
negative,Menara pinisi UNM
negative,tidak worth it
negative,gedung BU ampas
negative,Dosen Ignorant
negative,sampah
negative,tidak ada bagusnya 
negative,Saat ini. UNM memiliki rektor anti kritik. Mahasiswa dan organisasi kemahasiswaan takkan goyah dalam keadaan itu. Panjang umur perjuangan. Hidup mahasiswa
negative,Unm. salah satu kampus terbaik di indonesia??
negative,bayar mahal untuk liat kampus yang gampang banjir?? Mending uangnya buat bangun kolam di rumah saja
negative,rektor terlalu sibuk cari muka
negative,UNM. Universitas Negeri Mengecewakan hehehe 
positive,keren tawwa
negative,kantin tak ada
negative,baik kita sudahi saja. hidup terlalu singkat untuk dihabisken dengan kuliah di UNM
negative,mending kuliah di kampus lain
positive,good
negative,jele hmmm
negative,bangun gedung BU kenapa lamaaaaaaaaaaa
positive,keren tawwa
positive,asyikkk
positive,Makyus
positive,Adama
positive,enak pokonya mantap
positive,dekat dengan kantor lurah jadi bisa ngeteh dulu
negative,tidak tersedia kue kue atau gorengan
positive,sambil nunggu orderan ngopi dulu disini mantap
negative,kadang wifenya tidak bagus
negative,Tempatnya nyaman hanya tempat pasrkir mobil terbatas
positive,Tempat minum kopi dengan suana keluarga sendiri
positive,Mantp dan ok punya
positive,Andalan
negative,agak panas 
positive,harga kopinya murah kopi ukkuran kecil Cuma 8ribu
